month,mean_NDVI,min_NDVI,max_NDVI,mean_EVI,min_EVI,max_EVI,mean_VCI,min_VCI,max_VCI
1,0.421080509665655,0.18666945531276327,0.5966178077658968,0.2707548200757506,0.049009460861057876,0.5243371881450252,0.5462506068064367,0.21801390492830047,0.7953203583837766
2,0.26166038034421246,0.17936908961621573,0.3221423079362225,0.4910193542991075,0.10608611223020525,2.2111171137120116,0.3192106352953108,0.20309343522911927,0.4045781777471823
3,0.22617665359755842,0.1537092861471498,0.2783589015839121,0.1357700692044191,0.10460801093863335,0.1640586610674903,0.2690607750509841,0.16674010588199736,0.3430367697961182
4,0.2717587783587128,0.2319405081099312,0.31124716959101667,0.2311023110364256,0.19630207957464302,0.26602620870041654,0.3357818457112679,0.2808537004901446,0.39031664806515665
5,0.5735618243058754,0.3903202514235656,0.7212119484358838,0.5147172900454954,0.37902836451775435,0.6642732031538587,0.7588104869763648,0.5003917457214758,0.9673544553823301
6,0.36406344805494656,0.2545456865585437,0.47558020898529263,0.27721744329410347,0.08837767841242583,0.4921074338081633,0.4635908429242609,0.30818130438658875,0.6223558120144638
7,0.22800477320805876,0.17994909985766527,0.2720463967698943,0.1616260918186838,0.10816712400890775,0.2138696592345678,0.27209059959260384,0.20479000991342625,0.33377696305367216
8,0.22776878529751127,0.21332896153721262,0.24102388516604253,0.13682393384711844,0.12980262397088485,0.1438279029689937,0.2716219218031388,0.2514045652241046,0.29025314535311075
9,0.20932411253003397,0.16213258688233886,0.2324234682044294,0.1290046809664312,0.10551300431216896,0.14993433659726743,0.2449571931051039,0.17808094021294357,0.2777927891561724
10,0.20248964326886262,0.15663525326060773,0.2269824384564816,0.12377675969402108,0.10032413921341761,0.14077719835304442,0.23497390891280184,0.16998940688102854,0.27009424668948084
11,0.19346631350595622,0.1599284342762052,0.2261778963548916,0.14757932488189512,0.12296270691568938,0.17554238277812967,0.22651706393993729,0.17839500515662177,0.2733953091206304
12,0.3280813093137208,0.22019467166793896,0.44716604235400687,0.1844389327159298,0.11550095303859374,0.2525644410126291,0.41571698162303616,0.26270722004642144,0.5847472863091067
