month,count,mean_NDVI,mean_EVI,mean_VCI
1,8,0.5658570430479916,0.08722989134101934,67.54463959103094
2,12,0.5776591158371371,0.5910927158681029,68.57806639992022
3,10,0.5543049859466265,0.3827440692273404,64.95728919833414
4,8,0.640816092068637,0.44600556617957876,77.79152142946435
5,8,0.6734859994664869,0.49362646176734376,82.65221073910126
6,9,0.6423693199863323,6.321431686980859,78.07912748492085
7,3,0.5691264458309035,7.695445596582556,67.67837372485239
8,3,0.5603543121336163,0.37417041534999806,66.06275779879205
9,10,0.5310612511028183,-0.025712024709688232,61.6253343736969
10,10,0.5362410282602568,2.1214742649750153,62.255774783235566
11,4,0.5622977710238335,-19.990082377631754,66.27839998719976
12,10,0.6599813417804271,1.7171345254251926,80.47873549683099
