month,n_years,ndvi_clim_mean,ndvi_clim_std,ndvi_clim_p10,ndvi_clim_p25,ndvi_clim_p75,ndvi_clim_p90,ndvi_clim_min,ndvi_clim_max,evi_clim_mean,evi_clim_std,evi_clim_p10,evi_clim_p25,evi_clim_p75,evi_clim_p90,evi_clim_min,evi_clim_max
1,5,0.5830284106250756,0.02504561766004925,0.5577112535607719,0.5839483137015302,0.6007866534791559,0.6009007010176048,0.5402198801335997,0.600976732709904,0.29809167145555876,2.1231011137350224,-1.5768798412637435,0.32832907789260746,0.471701953210297,2.074990236353392,-2.847019120701311,3.143849091782122
2,5,0.5705718734183772,0.06204793725459361,0.5070139654403806,0.5154934564373266,0.6100107367616198,0.6326769566288054,0.5013609714424165,0.6477877698735959,-0.3962849575139054,1.7278269167533387,-1.9752229101863235,0.29026717885327197,0.3989880825362954,0.42415047128743266,-3.4855496362127205,0.4409253971215242
3,4,0.4897033120839429,0.047943008726011156,0.4484773113871008,0.4497209007873571,0.5245188100079403,0.5350628434788557,0.4476482517869299,0.5420921991261325,1.7118089865174477,2.1050116105334946,-0.20374996115287897,0.28414874284951763,3.029255759809754,3.715538710488274,-0.5290157638211435,4.173060677607287
4,4,0.4563753559866135,0.12423065537292724,0.35460978502446255,0.38306732750441896,0.5059136660582968,0.5771567016771733,0.33563809003782497,0.6246520587564243,-1.4270684227022834,3.928795108781472,-5.033447247111143,-1.6135253927088162,0.6158613796088468,0.6941321358628992,-7.313395150046029,0.7463126400322675
5,4,0.5031092092760661,0.08387185597095917,0.44574171221376624,0.4467240045957354,0.5281485923499003,0.5855533636235628,0.4450868506257868,0.6238232111393378,0.4956753205955707,1.1123239993066727,-0.5809575294040388,0.06619537906159301,1.1315670392531465,1.4071787488963017,-1.0123928017144601,1.590919888658405
6,4,0.44356198969452976,0.08096630137031527,0.36395616000400965,0.40667372081265807,0.4965852463627521,0.5102598291559693,0.33547778613157736,0.5193762176847808,1.0576599565730538,4.094393349533524,-2.6972676995737794,-0.5956746588376219,2.9066179622102446,4.656088900538675,-4.098329726731218,5.822402859424296
7,4,0.45799003223538026,0.04935907558628675,0.42521403156538146,0.4285776854282313,0.46875582487763345,0.5056832762372956,0.42297159565681486,0.5303015771437369,0.10499938860716768,2.1593693997201777,-1.894369780958126,-0.07594142455667541,1.160000516571108,1.4051203063323838,-3.1066553518924267,1.5685334995065674
8,4,0.3865493925413379,0.10218954752411863,0.29527269132751277,0.32086035122579215,0.4436156742773859,0.4847243014187612,0.2782142513953266,0.5121300528463447,0.41340017644104227,1.2601002716847303,-0.8399434838025119,-0.1254148486420975,1.3437478683744033,1.3535177032044199,-1.3162959072427884,1.360030926424431
9,4,0.385958717510516,0.07985319310535124,0.3119746098501573,0.3762623958695869,0.42217844914408065,0.4387240971767664,0.26911608583720426,0.4497545291985569,1.88648403071511,5.67869376613688,-2.8030451961583633,-2.5908733438538807,5.248479185193701,7.468303033660904,-2.944493097694685,8.948185599305704
10,4,0.4321972218229161,0.05510229010818148,0.3783288512498798,0.4112714447211856,0.4655705229457688,0.47610757317905456,0.35636712226900924,0.4831322733345784,1.4332190293637246,1.0912920851419892,0.3938365864525838,1.2221051204788222,2.0067065558554362,2.1827025781894185,-0.15834243623157526,2.3000332597454065
11,4,0.4872387293874839,0.12769517244082598,0.36150272192693905,0.44455103372083055,0.5696563245121542,0.5811908172816153,0.30613718073101137,0.5888804791279226,-5.21306981638456,12.11245618522494,-16.183662445705814,-5.391504008770697,0.8636014441363704,1.0389331584288586,-23.37843473699589,1.155820967957184
12,5,0.5277621163920654,0.07631907887530837,0.449072986783764,0.5064947503054613,0.5911704430583057,0.5961137268263074,0.41079181110263246,0.5994092493383085,-2.1906163145346356,2.9716083472244095,-5.513867555949083,-3.8687846975581497,-0.3589555782500547,0.12586799223138317,-6.610589461543038,0.4490837058856749
