year,month,date,ndvi_mean,ndvi_std,evi_mean,evi_std,n_images
2000,2,2000-02-15,0.5054574952415277,0.15053654542530645,0.28066581708470906,0.09149260252710223,1
2000,3,2000-03-15,0.49657816731868265,0.15855486945377364,0.272542069211233,0.08987343714839488,2
2000,4,2000-04-15,0.5590329579793608,0.15729000310186914,0.3068298520776284,0.10078196477417722,2
2000,5,2000-05-15,0.5858381430352431,0.17339695211051448,0.3455834083304223,0.12020840851427536,2
2000,6,2000-06-15,0.5046099881894963,0.16812998246062075,0.2865261995593232,0.10947546728743768,2
2000,7,2000-07-15,0.4797214461881857,0.16912510432119904,0.26501442474069425,0.10362286977678126,2
2000,8,2000-08-15,0.4708643643575718,0.17994457605256814,0.2350037259678432,0.09606527730795339,2
2000,9,2000-09-15,0.43952248253216236,0.16883125725551779,0.24400672951118724,0.11150297187321978,2
2000,10,2000-10-15,0.41821876125004154,0.16975455735126996,0.21686774261034414,0.10285915328383798,2
2000,11,2000-11-15,0.5276758023928885,0.17467564164696767,0.29867333552032355,0.11929070679959175,1
2000,12,2000-12-15,0.6408850292984484,0.13636803775181994,0.3656332093427655,0.1002023512253202,2
2001,1,2001-01-15,0.7014683931982646,0.10435672109782665,0.4256132401287743,0.07683082937975835,2
2001,2,2001-02-15,0.685068466451568,0.09164085964449138,0.40897104606386225,0.0746439134840779,2
2001,3,2001-03-15,0.6482694953864534,0.11043170634538742,0.3711455985845397,0.08159064466552747,2
2001,4,2001-04-15,0.6006843163506954,0.14221436138610682,0.40280735307124915,0.108424534374149,2
2001,5,2001-05-15,0.5687144026091523,0.15367000298635972,0.3775207175176529,0.11043702574499385,2
2001,6,2001-06-15,0.4798627924915094,0.16761500663464302,0.30772643697564156,0.09860499563094605,2
2001,7,2001-07-15,0.577697401209273,0.13889569911407498,0.3203694947833886,0.08610420469046667,2
2001,8,2001-08-15,0.5505194254978732,0.1671162014192915,0.30890267448022474,0.10406740968771638,2
2001,9,2001-09-15,0.453426707024509,0.1690327178260056,0.2655791062963085,0.1065450220803725,2
2001,10,2001-10-15,0.5244501916407843,0.18160828653271696,0.25716953646669494,0.10253423464904723,1
2001,11,2001-11-15,0.5629299216503162,0.15212038141069711,0.3279333576968576,0.10848096824862453,2
2001,12,2001-12-15,0.662786156533003,0.14444536700652325,0.3760086899906844,0.10316272875532413,2
2002,1,2002-01-15,0.6010159084778346,0.14331429367866277,0.352060121481307,0.10763732893107192,2
2002,2,2002-02-15,0.5571126668337351,0.15767668624573877,0.3560815532246379,0.11896083578612653,2
2002,3,2002-03-15,0.5868308059308707,0.14808421880509162,0.3545425463987043,0.10184187123018792,2
2002,4,2002-04-15,0.6127471823587536,0.14403262419683896,0.3950067130513356,0.10719711382131375,2
2002,5,2002-05-15,0.724068787780134,0.08330893612607401,0.43986354201087596,0.06743591394175859,2
2002,6,2002-06-15,0.466181759516085,0.14197144655753458,0.30769152295362695,0.09702371521508722,2
2002,7,2002-07-15,0.49794166840247633,0.1332070255331896,0.28535431264519084,0.08243629843760811,2
2002,8,2002-08-15,0.4840585256649362,0.16658121982680266,0.2591391237009669,0.09456635887060245,2
2002,9,2002-09-15,0.5108325693946433,0.16067308000369362,0.2914966307549176,0.11463257246452022,2
2002,10,2002-10-15,0.45402243691867417,0.2044169611586827,0.2702069635054868,0.13592365456367728,1
2002,11,2002-11-15,0.6522659096935377,0.13409194960861145,0.3786275272748328,0.10799019721201532,2
2002,12,2002-12-15,0.6825355878566706,0.11810573789374294,0.41962966787943407,0.10257634189663106,2
2003,1,2003-01-15,0.7119141459713143,0.0973401957351932,0.4386322626880193,0.08570414087278447,2
2003,2,2003-02-15,0.6122591064600007,0.14302649044612825,0.33676836827156387,0.09202125683543298,2
2003,3,2003-03-15,0.544774021330135,0.15431278535796825,0.3231702773229788,0.1058928188652497,2
2003,4,2003-04-15,0.5446731632254909,0.1508518039773249,0.2979594718745609,0.10352619619627004,2
2003,5,2003-05-15,0.6347492975436687,0.12966563374718754,0.37182965900576,0.0945882333838471,2
2003,6,2003-06-15,0.6272754573772551,0.1308706649707188,0.38368662126668973,0.08642044057760007,2
2003,7,2003-07-15,0.5520996618143152,0.15092251332913278,0.31410313429366643,0.08641966134939885,2
2003,8,2003-08-15,0.6123573669848251,0.13786898401226552,0.3073591264856011,0.0794368168452139,2
2003,9,2003-09-15,0.5657978406764406,0.17106936134168213,0.31031822602949255,0.10933080402695107,2
2003,10,2003-10-15,0.5505935289358442,0.17614199335679384,0.276065061759643,0.09782895183586773,1
2003,11,2003-11-15,0.6398239309660478,0.14071162958419547,0.36221516745403426,0.10249496757228857,2
