year,month,date,ndvi_mean,ndvi_std,evi_mean,evi_std,n_images,n_years,ndvi_clim_mean,ndvi_clim_std,ndvi_clim_p10,ndvi_clim_p25,ndvi_clim_p75,ndvi_clim_p90,ndvi_clim_min,ndvi_clim_max,evi_clim_mean,evi_clim_std,evi_clim_p10,evi_clim_p25,evi_clim_p75,evi_clim_p90,evi_clim_min,evi_clim_max,ndvi_anomaly,ndvi_zscore,ndvi_pct_anomaly,ndvi_vci,evi_anomaly,evi_zscore,evi_pct_anomaly,evi_vci,drought_class_zscore,drought_class_vci
2023,1,2023-01-15,0.5429575756391074,0.2185143580636104,-0.685221616926333,8598.987781932672,21,5,0.5830284106250756,0.02504561766004925,0.5577112535607719,0.5839483137015302,0.6007866534791559,0.6009007010176048,0.5402198801335997,0.600976732709904,0.29809167145555876,2.1231011137350224,-1.5768798412637435,0.32832907789260746,0.471701953210297,2.074990236353392,-2.847019120701311,3.143849091782122,-0.040070834985968196,-1.5999140260727513,-6.872878620616019,4.5059863857652385,-0.9833132883818918,-0.46314953254959107,-329.8694269385147,36.08487830312052,severe,extreme
2023,2,2023-02-15,0.4161692025403258,0.2106035940180491,1.6733969461623028,7572.271920421391,29,5,0.5705718734183772,0.06204793725459361,0.5070139654403806,0.5154934564373266,0.6100107367616198,0.6326769566288054,0.5013609714424165,0.6477877698735959,-0.3962849575139054,1.7278269167533387,-1.9752229101863235,0.29026717885327197,0.3989880825362954,0.42415047128743266,-3.4855496362127205,0.4409253971215242,-0.15440267087805143,-2.4884416422178566,-27.061037893964713,0.0,2.069681903676208,1.1978525647495004,-522.2711244606312,100.0,extreme,extreme
2023,3,2023-03-15,0.3624408531788276,0.19340791973641205,-1.1901365389347336,2010.364961943596,12,4,0.4897033120839429,0.047943008726011156,0.4484773113871008,0.4497209007873571,0.5245188100079403,0.5350628434788557,0.4476482517869299,0.5420921991261325,1.7118089865174477,2.1050116105334946,-0.20374996115287897,0.28414874284951763,3.029255759809754,3.715538710488274,-0.5290157638211435,4.173060677607287,-0.12726245890511528,-2.6544529074594747,-25.987665544581915,0.0,-2.9019455254521813,-1.3785888452732626,-169.52507834159584,0.0,extreme,extreme
2023,4,2023-04-15,0.3225562124948846,0.23615722381832857,5.634304247349451,17081.353620112295,7,4,0.4563753559866135,0.12423065537292724,0.35460978502446255,0.38306732750441896,0.5059136660582968,0.5771567016771733,0.33563809003782497,0.6246520587564243,-1.4270684227022834,3.928795108781472,-5.033447247111143,-1.6135253927088162,0.6158613796088468,0.6941321358628992,-7.313395150046029,0.7463126400322675,-0.1338191434917289,-1.0771829472364776,-29.32216688222186,0.0,7.0613726700517345,1.7973379813746106,-494.81668557141677,100.0,moderate,extreme
2023,5,2023-05-15,0.3994277217755807,0.15584839225311067,17.372845032292194,15733.54115961263,19,4,0.5031092092760661,0.08387185597095917,0.44574171221376624,0.4467240045957354,0.5281485923499003,0.5855533636235628,0.4450868506257868,0.6238232111393378,0.4956753205955707,1.1123239993066727,-0.5809575294040388,0.06619537906159301,1.1315670392531465,1.4071787488963017,-1.0123928017144601,1.590919888658405,-0.10368148750048534,-1.2361892592001935,-20.608147413893438,0.0,16.877169711696624,15.172890023245388,3404.8840058081028,100.0,moderate,extreme
2023,6,2023-06-15,0.4359285632007986,0.21892921469096072,11.413255386298362,19405.233597174338,9,4,0.44356198969452976,0.08096630137031527,0.36395616000400965,0.40667372081265807,0.4965852463627521,0.5102598291559693,0.33547778613157736,0.5193762176847808,1.0576599565730538,4.094393349533524,-2.6972676995737794,-0.5956746588376219,2.9066179622102446,4.656088900538675,-4.098329726731218,5.822402859424296,-0.007633426493731166,-0.094279056404197,-1.720937923240023,54.62296563424465,10.355595429725309,2.5292136210862903,979.1044243821702,100.0,normal,normal
2023,7,2023-07-15,0.15294652938881625,0.17201763122490255,43.12607313484708,39038.29035210207,7,4,0.45799003223538026,0.04935907558628675,0.42521403156538146,0.4285776854282313,0.46875582487763345,0.5056832762372956,0.42297159565681486,0.5303015771437369,0.10499938860716768,2.1593693997201777,-1.894369780958126,-0.07594142455667541,1.160000516571108,1.4051203063323838,-3.1066553518924267,1.5685334995065674,-0.305043502846564,-6.180089461223887,-66.60483446718102,0.0,43.021073746239914,19.922980177367897,40972.68976221746,100.0,extreme,extreme
2023,8,2023-08-15,0.43019298678572004,0.1957383209060735,0.5063018871698337,1329.5582857103082,12,4,0.3865493925413379,0.10218954752411863,0.29527269132751277,0.32086035122579215,0.4436156742773859,0.4847243014187612,0.2782142513953266,0.5121300528463447,0.41340017644104227,1.2601002716847303,-0.8399434838025119,-0.1254148486420975,1.3437478683744033,1.3535177032044199,-1.3162959072427884,1.360030926424431,0.04364359424438213,0.42708471954121763,11.290560814867883,64.97155576820566,0.09290171072879144,0.07372564931248178,22.472586133992802,68.10071817406619,normal,normal
2023,9,2023-09-15,0.29990441052804545,0.15178077628462117,23.69405471172232,80518.68650749898,22,4,0.385958717510516,0.07985319310535124,0.3119746098501573,0.3762623958695869,0.42217844914408065,0.4387240971767664,0.26911608583720426,0.4497545291985569,1.88648403071511,5.67869376613688,-2.8030451961583633,-2.5908733438538807,5.248479185193701,7.468303033660904,-2.944493097694685,8.948185599305704,-0.08605430698247057,-1.0776564297051732,-22.296246483958715,17.044170730175985,21.80757068100721,3.840244179224782,1155.9902085543022,100.0,moderate,severe
2023,10,2023-10-15,0.3752920702357005,0.19887067436283815,2.780846354780855,10283.073038782488,18,4,0.4321972218229161,0.05510229010818148,0.3783288512498798,0.4112714447211856,0.4655705229457688,0.47610757317905456,0.35636712226900924,0.4831322733345784,1.4332190293637246,1.0912920851419892,0.3938365864525838,1.2221051204788222,2.0067065558554362,2.1827025781894185,-0.15834243623157526,2.3000332597454065,-0.0569051515872156,-1.0327184491877666,-13.166477874892799,14.929140862146204,1.3476273254171303,1.2348915050014213,94.02800952310879,100.0,moderate,severe
