month,count,mean_NDVI,mean_EVI,mean_VCI
1,5,0.5512318854293365,-0.48791927307988575,75.30095969556353
2,11,0.5366860624220824,0.3321189898021368,72.5029999511993
3,11,0.5189261223242859,0.12477721438165247,69.51744279287882
4,6,0.558806815617975,0.37378560962844803,76.30833105123543
5,5,0.5792047751742068,-22.03030335637717,79.9754501010119
6,8,0.5367638929411077,0.5733852883642814,73.18387777944622
7,5,0.45598606991326196,-53.69630677993119,60.76752498206389
8,6,0.472532850625256,0.29839216907889854,62.78075282369289
9,10,0.38802173138139145,0.24060701477338206,49.7681633629357
10,10,0.4149456322340208,0.2590100437668906,53.87585779765814
11,8,0.426073583537782,0.33649318884449514,55.86993384551936
12,10,0.5731609705433142,0.35688328651999063,78.30623914802743
