month,max,mean,min,index
1,0.2631125328841189,0.24744362579955206,0.23177471871497074,NDVI
2,0.22834661380366883,0.21792755104583292,0.20750848828800195,NDVI
3,0.2430525399466057,0.2315100547262997,0.2199675695059783,NDVI
4,0.3803457701037372,0.3470298342130289,0.3137138983223214,NDVI
5,0.43044113323636585,0.3977685835945756,0.3650960339527752,NDVI
6,0.320771304924672,0.29628378520153864,0.2717962654783863,NDVI
7,0.371743886642951,0.32057177187835445,0.26939965711377417,NDVI
8,0.4070197528108945,0.38226557386234045,0.35751139491377393,NDVI
9,0.3230251364293259,0.3030585521888624,0.28309196794840547,NDVI
10,0.32487754045940265,0.30502284907060584,0.28516815768181386,NDVI
11,0.31480751620666486,0.31480751620666486,0.31480751620666486,NDVI
12,0.36900316210513556,0.3277631024220986,0.286523042739037,NDVI
1,0.1481453398027063,0.1373373020205419,0.12652926423837432,EVI
2,0.12409721705443191,0.11629620838541233,0.1084951997163884,EVI
3,0.12985995539810863,0.12089361083749865,0.11192726627688547,EVI
4,0.21639151041515406,0.19655210306270787,0.17671269571026127,EVI
5,0.26600439743853693,0.23712377205845372,0.2082431466783834,EVI
6,0.18728220120716893,0.1697546696870309,0.1522271381669,EVI
7,0.21827322204051772,0.18314954945878548,0.14802587687705596,EVI
8,0.2352152810664654,0.21683761283710368,0.19845994460774438,EVI
9,0.18256248795663665,0.16587769404174646,0.14919290012685676,EVI
10,0.1775429548653969,0.1631194064870655,0.14869585810872807,EVI
11,0.16004925496136632,0.16004925496136635,0.16004925496136632,EVI
12,0.19718853933052113,0.17513428433837053,0.15308002934622403,EVI
1,0.24901480981097587,0.19307244320590036,0.13713007660082577,VCI
2,0.1352805346249595,0.09551256513539565,0.05574459564583325,VCI
3,0.1867311493275078,0.14399015395612755,0.1012491585847277,VCI
4,0.6911801812988821,0.5656513369516655,0.4401224926044048,VCI
5,0.8738838899496426,0.7594845198179611,0.6450851496863206,VCI
6,0.49268353117969454,0.40273907436892575,0.31279461755814714,VCI
7,0.6348335694179036,0.46296340164146604,0.2910932338650084,VCI
8,0.7668845150200896,0.6727517405880098,0.578618966155885,VCI
9,0.46963162013562326,0.39601640646264874,0.3224011927896701,VCI
10,0.45114358591179565,0.3796827534137767,0.3082219209157541,VCI
11,0.4368375499366083,0.4368375499366083,0.4368375499366083,VCI
12,0.6325362643290617,0.4960870987849528,0.35963793324081633,VCI
