Month,NDVI,EVI,VCI
1,0.616832802085856,0.4071304068920214,0.7616680216984432
2,0.5550153555682562,0.34075755047133566,0.6180295693447208
3,0.5373673888409157,0.2851442944191009,0.5766542019839822
4,0.6454878146983898,0.40218402754570204,0.8291376325088886
5,0.6256719673516018,0.4089187305023108,0.7848650945945781
6,0.5800553248299775,0.3781065601287873,0.6795468412893952
7,0.5350887315879883,0.3721880546503515,0.5803828092782776
8,0.397267996905813,0.22896204077062743,0.3011029558669346
9,0.4206126993874369,0.24441525599116434,0.32169954371609116
10,0.40330805734758174,0.2261467589945922,0.2964922639213064
11,0.5603589840761446,0.30196422196701034,0.6492466333526129
12,0.5828130926915128,0.35072148405493947,0.6910864157908375
