year,month,date,ndvi_mean,ndvi_std,evi_mean,evi_std,n_images
2021,1,2021-01-15,0.6668991344527667,0.15434566289759183,0.40291626834036504,0.11739741881391591,2
2021,2,2021-02-15,0.6498832050399463,0.15377816210320674,0.36302343315948565,0.10438161040642126,2
2021,3,2021-03-15,0.6209985336368774,0.16136401786443422,0.3725021732658627,0.11673523040679573,2
2021,4,2021-04-15,0.5530347580195253,0.14482785093802042,0.3700215285161872,0.11259364072620424,2
2021,5,2021-05-15,0.648891398200451,0.14250779340670297,0.4336336244288578,0.10565600728326857,2
2021,6,2021-06-15,0.5711793273820054,0.1393637240821567,0.3614037554462549,0.09601157974740585,2
2021,7,2021-07-15,0.491310683514336,0.14225915572643308,0.28533124900685736,0.08795170090894917,2
2021,8,2021-08-15,0.5919743114189688,0.1658031273107175,0.31845022495296965,0.09575221802746624,2
2021,9,2021-09-15,0.5461580029890957,0.18653640190815884,0.31267706343137763,0.1190618652808602,2
2021,10,2021-10-15,0.5692133285879436,0.19307189320522225,0.3227543886505749,0.13099962557925496,1
2021,11,2021-11-15,0.578387039774939,0.19365672056453595,0.3695305628237155,0.14997961810028787,2
2021,12,2021-12-15,0.6664439336741018,0.153351886247162,0.39544016218439304,0.11946549115018804,2
2022,1,2022-01-15,0.6475940327730603,0.15701650597246442,0.39007307070760033,0.11821372969538001,2
2022,2,2022-02-15,0.6085995564788973,0.1702593606531745,0.36667455745528715,0.12322150437460312,2
2022,3,2022-03-15,0.584262983002748,0.17750737544315162,0.33606303709675617,0.11851452431565775,2
2022,4,2022-04-15,0.6110866808457209,0.15798052507298596,0.3469147687272865,0.10498476518669714,2
2022,5,2022-05-15,0.6828914276597245,0.12355902396499847,0.3927910986205304,0.08873140977652585,2
2022,6,2022-06-15,0.5411630672548122,0.1510025050465741,0.33715571581088283,0.10513250963430525,2
2022,7,2022-07-15,0.30756040621911596,0.12003798597657567,0.20958023391375777,0.08110216092183416,2
2022,8,2022-08-15,0.5014841656178466,0.1880657053046148,0.26821449194419655,0.10273446617979769,2
2022,9,2022-09-15,0.5110143323807422,0.19036555234946606,0.30815994850204287,0.12600267591750508,2
2022,10,2022-10-15,0.5040042141133612,0.19654567979975662,0.27976952884987205,0.11637793981221348,1
2022,11,2022-11-15,0.5064169073073139,0.1727911378586001,0.3000495824298528,0.12568380236103624,2
2022,12,2022-12-15,0.6301985939051366,0.15735565042143287,0.41024947972685294,0.13823325777933299,2
2023,1,2023-01-15,0.6195239316887741,0.1855066644571746,0.3685255142185596,0.12425839953072924,2
2023,2,2023-02-15,0.5238268324908277,0.1902025306497646,0.29527072667371745,0.1192465925099495,2
2023,3,2023-03-15,0.4827222528551849,0.17090884333282486,0.28391169853085535,0.10978462791496192,2
2023,4,2023-04-15,0.5136308703487886,0.16306307062439562,0.33621942507190034,0.11365844558026636,2
2023,5,2023-05-15,0.685435155640651,0.14117662063467834,0.45722293737270947,0.11348884508453104,2
2023,6,2023-06-15,0.541769758275113,0.12822555376744021,0.32795677680396,0.09530898900652632,2
2023,7,2023-07-15,0.5575725495442151,0.17039054605807205,0.3521103519719479,0.11777176465455841,2
2023,8,2023-08-15,0.5622927360292734,0.1867992323515056,0.3074326470129882,0.1197207419193727,2
2023,9,2023-09-15,0.5715795088472582,0.19223971352927574,0.32177543232131783,0.1266390273869064,2
2023,10,2023-10-15,0.44668514935279446,0.20410168673750922,0.2973088226602667,0.15873607556259678,1
2023,11,2023-11-15,0.6221050917339067,0.15030617069601648,0.38964374199023943,0.12110317168584342,2
2023,12,2023-12-15,0.7269623116282175,0.11431447848751014,0.4335457057100133,0.08420372445885817,2
2024,1,2024-01-15,0.6565640215148872,0.14858895292048413,0.4200618745972386,0.11207657434189866,2
2024,2,2024-02-15,0.669943691519406,0.14734919655857864,0.3854273893355814,0.10213933618282667,2
2024,3,2024-03-15,0.6608058039350092,0.15891289992065097,0.3585546294220492,0.10673796260686338,2
2024,4,2024-04-15,0.7135144432777748,0.13175214228042434,0.41516625748997754,0.10598927645537379,2
2024,5,2024-05-15,0.7154120384060817,0.1226313027274324,0.442298829406962,0.09320974646023587,2
2024,6,2024-06-15,0.6952869869875653,0.11394903703053251,0.43383555364946225,0.08541449203527249,2
2024,7,2024-07-15,0.6750276414791404,0.1304161942415039,0.4043721221287908,0.08660790201617351,2
2024,8,2024-08-15,0.5030743194311126,0.137412463283746,0.2842504151435288,0.08742706409225981,2
2024,9,2024-09-15,0.6044372049143493,0.16795943718971929,0.3443817952118158,0.1065891889970179,2
2024,10,2024-10-15,0.6064740702550119,0.17646248148268007,0.36449725651664916,0.13028946106081235,2
2024,11,2024-11-15,0.6898686362244839,0.14727708866500253,0.43650805952029303,0.13653375742508872,1
2024,12,2024-12-15,0.7238873106518224,0.11787284621012756,0.44231196656949756,0.08859592158175139,2
